Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,Time Period Start Date,Time Period End Date,Value,Low CI,High CI,Confidence Interval
Symptoms of Depressive Disorder,National Estimate,United States,United States,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,22.1,21.4,22.9,21.4 - 22.9
Symptoms of Depressive Disorder,By Age,United States,18 - 29 years,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,38.6,35.6,41.7,35.6 - 41.7
Symptoms of Depressive Disorder,By Age,United States,30 - 39 years,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,26.7,25,28.5,25.0 - 28.5
Symptoms of Depressive Disorder,By Age,United States,40 - 49 years,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,22.5,20.7,24.4,20.7 - 24.4
Symptoms of Depressive Disorder,By Age,United States,50 - 59 years,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,18.6,17.5,19.8,17.5 - 19.8
Symptoms of Depressive Disorder,By Age,United States,60 - 69 years,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,15.3,14.1,16.6,14.1 - 16.6
Symptoms of Depressive Disorder,By Age,United States,70 - 79 years,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,11.1,9.6,12.9,9.6 - 12.9
Symptoms of Depressive Disorder,By Age,United States,80 years and above,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,13.2,9.9,17.2,9.9 - 17.2
Symptoms of Depressive Disorder,By Sex,United States,Male,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,21.1,19.9,22.4,19.9 - 22.4
Symptoms of Depressive Disorder,By Sex,United States,Female,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,23.1,22.3,24,22.3 - 24.0
Symptoms of Depressive Disorder,By Gender identity,United States,Cis-gender male,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,20.3,19.1,21.6,19.1 - 21.6
Symptoms of Depressive Disorder,By Gender identity,United States,Cis-gender female,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,22.5,21.7,23.3,21.7 - 23.3
Symptoms of Depressive Disorder,By Gender identity,United States,Transgender,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,63.3,51.5,74.1,51.5 - 74.1
Symptoms of Depressive Disorder,By Sexual orientation,United States,Gay or lesbian,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,31.2,27,35.6,27.0 - 35.6
Symptoms of Depressive Disorder,By Sexual orientation,United States,Straight,3.2,34,"Jul 21 - Aug 2, 2021",7/21/21,8/2/21,19.7,18.9,20.5,18.9 - 20.5
